topicId,words..
1,mrs stated davis building hill rifle depository school book man
2,assassination taking riggs staff president recalls dallas evidence mercedes depositions
3,car hospital agents room rear air white force front love
4,arrived mr cardiac immediately perry carrico begun found obtained chest
5,mrs oswald lee ray marina bouhe russian party oswalds meller
6,wound fragment left metal thigh arm doctor chest removed special
7,time man shot shooting special texas floor agent make officer
8,commission oswald witnesses november lee members testimony time kennedy week
9,police stated street east found front house department service corner
10,sa dallas greer police field area house follow chief stated
11,dallas texas mr april office street robert witnesses depositions craig
12,dr president blood emergency surgery staff doctors clark room connected
13,approximately officers city statement basement report main ramp roy men
14,back left heard street vehicle john november point head people
15,dr dallas information thomas charles received ch representative car taylor
16,mrs president johnson kennedy vice washington youngblood plane hill return
17,president governor kennedy connally seat presidential kellerman immediately mrs motorcade
18,mr office states united people told subject general asked wife
19,dallas texas stated home ford oswald time harvey interviewed apartment
20,mr det hubert lt police crull ruby chief department ptn
